종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"017670","SK텔레콤 ","230000","4000","1.77","16525","13.92",,,"146816","1.57","9400","4.09"
"000660","SK하이닉스 ","35700","300","0.85",,,,,"14032","2.54","0","0.00"
"048550","SM C&C ","2870","-15","-0.52",,,,,"613","4.68","0","0.00"
"099440","SMEC ","7760","-250","-3.12","113","68.67",,,"3230","2.40","20","0.26"
"051980","SNH ","1580","0","0.00","202","7.82",,,"2882","0.55","0","0.00"
"036540","STS반도체 ","3660","-55","-1.48","26","140.77",,,"4473","0.82","0","0.00"
"011810","STX ","3010","-120","-3.83",,,,,"18511","0.16","125","4.15"
"077970","STX엔진 ","5330","-160","-2.91",,,,,"21503","0.25","0","0.00"
"067250","STX조선해양 ","9260","-150","-1.59",,,,,"25707","0.36","0","0.00"
"071970","STX중공업 ","3615","-125","-3.34","115","31.43",,,"8383","0.43","125","3.46"
"028670","STX팬오션 ","762","0","0.00",,,,,"8600","0.09","0","0.00"
"002710","TCC동양 ","3440","-10","-0.29","8","430.00",,,"13223","0.26","120","3.49"
"032540","TJ미디어 ","2740","-30","-1.08","325","8.43",,,"6081","0.45","130","4.74"
"048770","TPC ","8190","-610","-6.93","134","61.12",,,"2112","3.88","25","0.31"
"011000","VGX인터 ","1410","-5","-0.35",,,,,"523","2.70","0","0.00"
"024070","WISCOM ","5050","-70","-1.37","489","10.33",,,"7774","0.65","300","5.94"
"057030","YBM시사닷컴 ","4025","15","0.37","226","17.81",,,"3904","1.03","250","6.21"
"040300","YTN ","2690","-5","-0.19","118","22.80",,,"4195","0.64","10","0.37"
"052220","iMBC ","4130","70","1.72","142","29.08",,,"2048","2.02","45","1.09"
"079940","가비아 ","4865","-120","-2.41","524","9.28",,,"2644","1.84","20","0.41"
"078890","가온미디어 ","6110","140","2.35","467","13.08",,,"5474","1.12","50","0.82"
"000500","가온전선 ","19200","100","0.52","1160","16.55",,,"63546","0.30","600","3.13"
"030270","가희 ","8650","50","0.58",,,,,"18121","0.48","0","0.00"
"024840","갑을메탈 ","496","-3","-0.60",,,,,"474","1.05","0","0.00"
"035250","강원랜드 ","33000","-200","-0.60","1509","21.87",,,"11087","2.98","755","2.29"
"094480","갤럭시아컴즈 ","1495","25","1.70",,,,,"1380","1.08","0","0.00"
"000860","건설화학 ","28700","200","0.70","4387","6.54",,,"50411","0.57","450","1.57"
"063080","게임빌 ","42600","-1150","-2.63","4081","10.44",,,"16350","2.61","0","0.00"
"041140","게임하이 ","6750","60","0.90","452","14.93",,,"2141","3.15","0","0.00"
"000800","경남기업 ","3785","-40","-1.05","4713","0.80",,,"27336","0.14","0","0.00"
"039240","경남스틸 ","6560","-40","-0.61","1268","5.17",,,"12019","0.55","250","3.81"
"008020","경남에너지 ","6220","-30","-0.48","883","7.04",,,"9289","0.67","125","2.01"
"053950","경남제약 ","303","2","0.66",,,,,"552","0.55","0","0.00"
"002100","경농 ","3750","-20","-0.53","632","5.93",,,"6784","0.55","150","4.00"
"012320","경동가스 ","93500","1500","1.63","12300","7.60",,,"127134","0.74","1250","1.34"
"009450","경동나비엔 ","18850","0","0.00","729","25.86",,,"13655","1.38","100","0.53"
"011040","경동제약 ","12900","150","1.18","696","18.53",,,"11593","1.11","500","3.88"
"000050","경방 ","105500","-1500","-1.40",,,,,"298416","0.35","0","0.00"
"139050","경봉 ","2395","-5","-0.21","60","39.92",,,"1484","1.61","50","2.09"
"043220","경원산업 ","1480","20","1.37",,,,,"906","1.63","0","0.00"
"012610","경인양행 ","4345","-30","-0.69","65","66.85",,,"4309","1.01","50","1.15"
"009140","경인전자 ","15900","200","1.27","824","19.30",,,"36276","0.44","350","2.20"
"024910","경창산업 ","10350","-150","-1.43","680","15.22",,,"4728","2.19","55","0.53"
"013580","계룡건설 ","8130","-90","-1.09","276","29.46",,,"51239","0.16","0","0.00"
"012200","계양전기 ","2900","-50","-1.69","148","19.59",,,"4245","0.68","50","1.72"
"012205","계양전기우 ","1645","-15","-0.90",,,,,,,"55","3.34"
"004200","고려개발 ","1915","-5","-0.26",,,,,"6013","0.32","0","0.00"
"089890","고려반도체 ","4420","30","0.68","787","5.62",,,"2947","1.50","0","0.00"
"002140","고려산업 ","1195","-45","-3.63","322","3.71",,,"2486","0.48","30","2.51"
