종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
"000105","유한양행(1우) 【락】","46250","0","0.00",,,,,"1050","2.27"
"000107","유한양행(2우B) 【락】","51200","0","0.00",,,,,"1050","2.05"
"005690","유화 ","2550","140","5.81",,,"15726","0.16","0","0.00"
"003460","유화증권 ","6290","90","1.45","2409","2.61","21346","0.29","1000","15.90"
"003465","유화증권(1우) ","6300","820","14.96",,,,,"1050","16.67"
"047770","윤디자인 ","1620","90","5.88","245","6.61",,,"0","0.00"
"031510","윤영 ","5730","130","2.32","713","8.04",,,"0","0.00"
"008730","율촌화학 ","3530","35","1.00","796","4.43","4546","0.78","175","4.96"
"032150","으뜸저축은행 ","990","0","0.00",,,,,"0","0.00"
"044960","이-글 벳 ","1710","160","10.32","244","7.01",,,"0","0.00"
"008250","이건산업 ","3040","50","1.67",,,"14752","0.21","0","0.00"
"039020","이건창호 ","10650","50","0.47",,,,,"0","0.00"
"025820","이구산업 ","9300","0","0.00","3236","2.87","28121","0.33","300","3.23"
"042340","이네트 ","1750","180","11.46",,,,,"0","0.00"
"045390","이노디지털 ","2240","200","9.80","139","16.12",,,"0","0.00"
"017170","이노츠 ","2000","130","6.95","205","9.76","2723","0.73","0","0.00"
"035600","이니시스 ","850","90","11.84","10","85.00",,,"0","0.00"
"053350","이니텍 ","1920","200","11.63","180","10.67",,,"0","0.00"
"033110","이디 ","1220","40","3.39","69","17.68",,,"0","0.00"
"054210","이랜텍 ","4200","390","10.24","663","6.33",,,"0","0.00"
"045310","이레전자산업 ","2830","220","8.43","127","22.28",,,"0","0.00"
"034980","이론테크 ","2550","270","11.84",,,,,"0","0.00"
"041030","이루넷 ","8900","80","0.91","639","13.93",,,"0","0.00"
"054940","이림테크 ","2280","210","10.14","302","7.55",,,"0","0.00"
"052770","이모션 ","8310","890","11.99","671","12.38",,,"0","0.00"
"048410","이미지퀘스트 ","1630","50","3.16","294","5.54",,,"0","0.00"
"032180","이수세라믹 ","6230","320","5.41","1218","5.11",,,"0","0.00"
"007660","이수페타시스 ","1440","90","6.67","4","360.00",,,"0","0.00"
"005950","이수화학 ","9980","-520","-4.95","3374","2.96","26338","0.38","750","7.52"
"051530","이스턴테크 ","7050","430","6.50","1101","6.40",,,"0","0.00"
"065160","이앤이시스템 ","3350","340","11.30","418","8.01",,,"0","0.00"
"047450","이앤텍 ","10800","500","4.85","1319","8.19",,,"0","0.00"
"041060","이오리스 ","1610","170","11.81","412","3.91",,,"0","0.00"
"039030","이오테크닉스 ","3860","410","11.88",,,,,"0","0.00"
"033600","이젠텍 ","2910","130","4.68","564","5.16",,,"0","0.00"
"035810","이지바이오 ","2360","80","3.51","214","11.03",,,"0","0.00"
"016250","이테크이앤씨 ","4430","130","3.02","219","20.23",,,"0","0.00"
"024810","이티아이 ","520","50","10.64","29","17.93",,,"0","0.00"
"001840","이화공영 ","8870","220","2.54","1738","5.10",,,"0","0.00"
"000760","이화산업 ","5340","-250","-4.47",,,"22132","0.24","0","0.00"
"039790","익스팬전자 ","2350","250","11.90",,,,,"0","0.00"
"041450","인네트 ","1230","80","6.96","158","7.78",,,"0","0.00"
"037700","인디시스템 ","1900","200","11.76",,,,,"0","0.00"
"039060","인바이오넷 ","1130","90","8.65",,,,,"0","0.00"
"060150","인선이엔티 ","6200","20","0.32","904","6.86",,,"0","0.00"
"033230","인성정보 ","980","70","7.69",,,,,"0","0.00"
"041630","인젠 ","2560","180","7.56","192","13.33",,,"0","0.00"
"023800","인지컨트롤스 ","2615","20","0.77","537","4.87","3277","0.80","200","7.65"
"046240","인츠커뮤니티 ","2690","110","4.26","33","81.52",,,"0","0.00"
"047370","인컴 ","900","90","11.11","147","6.12",,,"0","0.00"
"020120","인큐브테크 ","4950","265","5.66",,,,,"0","0.00"
"049070","인탑스 ","14000","800","6.06","1714","8.17",,,"0","0.00"
"010670","인터리츠 ","230","10","4.55",,,,,"0","0.00"
